이슈,원인,원인 소분류,원인 대분류,조치결과,조치결과상세,로봇분류
테이블위치변경,비고장,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),리부팅(HW),비고장,베어 서빙로봇
테이블위치변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),테이블변경,베어 서빙로봇
테이블위치변동,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",맵조정,LG 서빙로봇
테이블이동,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",테이블 위치조정,베어 서빙로봇
테이블이동,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",테이블이동,베어 서빙로봇
테이블이동,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",테이블이동,LG 서빙로봇 판매
테이블이동,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",테이블이동,
테이블조정위치 틀어짐 방문점검 요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",,베어 서빙로봇
테이블추가,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),테이블 추가로 맵 수정,베어 서비스로봇2 판매형
텡블 23번 및 24번 배달시 충돌 감지,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),기타(외부시스템),양호,LG 서비스로봇2 임대형
통신불,로봇 설정 미흡,설치 / 로봇 내부 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),LTE통신복구,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
통신오류,라우터 불량,HW / 라우터,로봇문제(HW),리부팅(HW),통신오류 파워리부팅,베어로봇틱스 판매형 방역로봇
퇴식 사용법,기타,문의성 / 기술상담,고객사용법,조작법 안내(고객),버전업 및 역할퇴식 설정,베어 서빙로봇
퇴식용 맵수정,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",퇴식용 맵수정 및 운행방법 조율,베어 서빙로봇
퇴식위치 변경및 목적지위치변경,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",퇴식위치변경 및 목적지위치변경,LG 서빙로봇 판매
퇴식장소 변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",POC사후캐어,베어 서빙로봇
퇴식장소 신규 요청,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",픽업포인트 신규 생성,베어 서빙로봇
퇴식장소변경,비고장,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),자연회복(자연회복),서빙위치변경,베어 서빙로봇
퇴식장소오류,"호출벨/오더연동오류, 오더수행중 종료",외부시스템 / 기타,기타,기타(외부시스템),468630,LG 서빙로봇 판매
퇴식주행테스트,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",퇴식모드 미션확인 맵수정,베어 서빙로봇
트레이 변경요청,트레이조명 불량,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),기타(외부시스템),,베어 서빙로봇
트레이 에러 방문,트레이/적재함 불량,HW / 트레이/적재함,로봇문제(HW),트레이/적재함 불량복구(HW),트레이 무게 에러로 점검 베어사 접수예정,베어 서빙로봇
특수수요 긴급 AS교체,마이크/스피커 불량,HW / 마이크/스피커,로봇문제(HW),로봇교체(HW),특수수요 긴급AS 교체작업,베어 서빙로봇
특수수요 요청 교체,라이다 센서 불량,HW / 라이다 센서,로봇문제(HW),로봇교체(HW),로봇고장(초기화오류)으로교체,베어 서빙로봇
특수수요 요청 로봇 교체처리 및 바코드 반납 요청,Xavier(SW응용부 보드) 불량,HW / 헤더부 터치버튼,로봇문제(HW),헤더부 터치버튼 불량복구(HW),로봇교체,베어 서빙로봇
특수수요 요청에의한 로봇교체,전원부 불량,HW / 전원부,로봇문제(HW),로봇교체(HW),특수수요 요청 교체,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
특수수요요청 교체,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),특수수요요청 교체,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
특수수요요청 로봇교체,마이크/스피커 불량,HW / 마이크/스피커,로봇문제(HW),로봇교체(HW),로봇교체,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
특수수요요청 로봇교체,"초기화오류, 오류 메시지발생",HW / 모터,로봇문제(HW),로봇교체(HW),특수수요요청 교체,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
특수수요요청 로봇교체,라우터 불량,HW / 라우터,로봇문제(HW),로봇교체(HW),특수수요요청 교체,"서빙로봇,서빙로봇 충전기"
특수수요요청 로봇교체,라우터 불량,HW / 라우터,로봇문제(HW),로봇교체(HW),특수수요요청 교체,"서빙로봇,서빙로봇 충전기"
특정 위치 룸 에 이동불가 위치재배치 후에도 동일증상,"자율주행 오류(멈춤, 금지구역침범 등)",HW / TX2(HW 센서/구동부 보드),로봇문제(HW),Xavier(SW응용부 보드) 불량복구(HW),바닥센서 수정 및 전원on/off 위치재배치,LG서빙로봇(고객)
특정 테이블 넘 멀리섬,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),로봇 서빙위차변경요정,베어 서빙로봇
특정구간 주행안됨,문의성,문의성 / 기타,#N/A,,렌즈클리닝및 지도 수정,베어 서비스로봇2 판매형
특정지역 서빙시위치 못찾음,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),특정지점위치 못찾음,LG 서비스로봇2 임대형
판매로봇교체,TX2(HW 센서구동부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),로봇교체(HW),,베어 서빙로봇
판매로봇교체,TX2(HW 센서구동부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),로봇교체(HW),,베어 서빙로봇
판매형 교체,Xavier(SW응용부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),로봇교체(HW),판매형 수리 교체,베어 서빙로봇
판매형 로봇 고장으로 수리후 재교체  베어사 방문,외장케이스 파손,HW / 외장케이스,로봇문제(HW),로봇교체(HW),베어사 방문 고장로봇 수리 후 재교체,"방역로봇 충전기,베어로봇틱스 판매형 방역로봇"
판매형교체 db정리,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),,베어 서빙로봇
포인트 위치변경및 대기장소 변경,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",대기장소변경,베어 서빙로봇
포인트조정,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",픽업포인트 조정,베어 서빙로봇
포인트추가,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",포인트추가,베어 서빙로봇
픽업장소 복귀 불가,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),장애물 제거(환경),원격 재설정,베어 서빙로봇
하단카메라 불량,로봇 에러(재부팅 필요),설치 / 로봇 내부 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),로봇교체,베어 서빙로봇
하드웨어 에러,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),양호,베어 서비스로봇2 임대형
하라검진주냉면 긴급조치요청,Robot Makers 오류,로봇플랫폼 / Robot Makers(로봇플랫폼),로봇플랫폼,리부팅(HW),베어유니버스 서버 문제로 로봇 운행오작동.리부팅후 위치재설정후 정상동작,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
하방 카메라 인식 불,마이크/스피커 불량,HW / 마이크/스피커,로봇문제(HW),로봇교체(HW),사운드 불 교체 판정,LG서빙로봇(고객)
하방카메라가상 장애물 감지,3D 카메라(전면) 불량,HW / 3D 카메라(전면),로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),하방카메라 가상 장애물 인식 오류,베어 서빙로봇
하이오더 수정완료 후 재매핑 맵 수정,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",마커 임의변경 복구 하이오더와 테이블변경 부분 조정,베어 서비스로봇2 임대형
하이오더 연동 오류,"맵핑오류, 라이다 틀어짐",SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",하이오더 연동불,베어 서비스로봇2 임대형
현대로봇충전이 안됨,충전스테이션 불량,HW / 배터리,로봇문제(HW),배터리 불량복구(HW),로봇방전,"서빙로봇,방역로봇 충전기"
현재위치를 인식할수없습니다,기타,SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",,LG 서빙로봇 판매
협소한 장소에 맵 수정하여 운행하도록 요청함,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",맵수정요청,베어 서빙로봇
호출벨 교체,"호출벨/오더연동오류, 오더수행중 종료",외부시스템 / 기타,기타,기타(외부시스템),호출벨교체,
호출벨 연동,"호출벨/오더연동오류, 오더수행중 종료",외부시스템 / 기타,기타,기타(외부시스템),,베어 서비스로봇2 임대형
호출벨 연동,"호출벨/오더연동오류, 오더수행중 종료",외부시스템 / 기타,기타,기타(외부시스템),,베어 서비스로봇2 임대형
호출벨33번 기능 불,로보케어 APP 오류,로봇플랫폼 / 로보케어 APP,로봇플랫폼,로보케어 APP 개선(로봇플랫폼),진행중,LG 서빙로봇 판매
호출벨연동 안됨,Robot Makers 오류,로봇플랫폼 / Robot Makers(로봇플랫폼),로봇플랫폼,Robot Makers 개선(로봇플랫폼),플랫폼 오류,베어 서비스로봇2 임대형
화면 글씨 작아짐,UI/UX 오류(LCD 화면 표기),SW / UI/UX(LCD 화면표기),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",,베어 서빙로봇
화면 글씨 적음,UI/UX 오류(LCD 화면 표기),SW / UI/UX(LCD 화면표기),로봇문제(SW),UI/UX 로직개선(LCD 화면 표기)(SW),,베어 서빙로봇
화면 글자 작아짐,비고장,SW / UI/UX(LCD 화면표기),로봇문제(SW),UI/UX 로직개선(LCD 화면 표기)(SW),,베어 서빙로봇
화면 안나옴 불량교체,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),로봇교체,베어 서빙로봇
화면 잦은 멈춤 및 다운현상,UI/UX 오류(LCD 화면 표기),SW / UI/UX(LCD 화면표기),로봇문제(SW),대기시간 조정(설정),대기화면 전환 off등 조치,LG 서빙로봇 판매
화면 터치 안됩니다,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),화면 터치 안되서 로봇 교체 요청,베어 서빙로봇
화면 터치 안됩니다,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),디스플레이 불량으로 로봇교체,베어 서빙로봇
화면미클릭으로 위치재설정 불가,로봇 에러(재부팅 필요),SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),리부팅(HW),리부팅 복구,LG 서빙로봇 판매
화면에 개통이정지되었습니다 라고 방문요청,문의성,비고장 / 일시이용정지,#N/A,,요금 미납으로 완납처리,LG 서빙로봇 판매
화면이 안켜짐,로봇 에러(재부팅 필요),HW / 전원부,로봇문제(HW),로봇교체(HW),화면이 안켜지는 증상.유선충전기 및 다른충전기로 해봐도 같은증상.로봇LED는 정상으로 들어오나 No sinanal. Power saving만 뜨는현상.. 로봇교체 판정..교체예정,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
화면이 흐리게 보임,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),,베어 서빙로봇
화면터치 안됨,UI/UX 오류(LCD 화면 표기),설치 / 로봇 내부 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),로봇초기화후재설정,베어 서빙로봇
화면터치불,비고장,HW / 배터리,로봇문제(HW),자연회복(자연회복),,LG 서빙로봇 판매
화분 부분에서 아랫 부분에서 충돌 현상,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),금지구역 추가 및 노드 수정,LG 서빙로봇 판매
화분 추가배치로 로봇운행불가,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),맵설정,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
환경변화 로봇 장애,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",환경변화로 재매핑 작업,베어 서빙로봇
환경변화 로봇 장애,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",환경변화로 재매핑 작업,베어 서빙로봇
환경변화로 위치잊음,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",맵 전체 재매핑,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
