이슈,원인,조치결과
[상품명] 서빙로봇[신고자/연락처] 원태수 010 3115 9491[문의(고장)내용] 맵(경로) 대로 움직이지 않는다함[답변(진단)내용] 점검요청[기타],[상품명] 서빙로봇[신고자/연락처] 원태수 010 3115 9491[문의(고장)내용] 맵(경로) 대로 움직이지 않는다함[답변(진단)내용] 점검요청[기타],
주행 중 국물 흘림 현상서빙 주행 방향 변경 요청,주행 중 국물 흘림 현상서빙 주행 방향 변경 요청,양호
[상품명]초긴급[신고자/연락처]010-3099-5550권택헌[문의(고장)내용]전체 로봇 이동 안된다심[답변(진단)내용]빠른 연락 요청 하심[기타],[상품명]초긴급[신고자/연락처]010-3099-5550권택헌[문의(고장)내용]전체 로봇 이동 안된다심[답변(진단)내용]빠른 연락 요청 하심[기타],정상동작
[상품명]미래성장[신고자/연락처]김유석01050046649[문의(고장)내용]테이블 배치 위치 변경 [답변(진단)내용]재설정요청/화요일 빠른 정검요청함[기타],[상품명]미래성장[신고자/연락처]김유석01050046649[문의(고장)내용]테이블 배치 위치 변경 [답변(진단)내용]재설정요청/화요일 빠른 정검요청함[기타],맵지도 재작성
보드불량 교체 요청,보드불량 교체 요청,보드교체
ㅐ부팅 후 위치재배치 동ㅇ일증상,ㅐ부팅 후 위치재배치 동ㅇ일증상,sw23.02.3버젼업
[상품명]서빙로봇[신고자/연락처]조순덕/010-8382-6867[문의(고장)내용]로봇 뒤로 조금 위치변경요청[답변(진단)내용][기타],[상품명]서빙로봇[신고자/연락처]조순덕/010-8382-6867[문의(고장)내용]로봇 뒤로 조금 위치변경요청[답변(진단)내용][기타],대기 위치 변경
테이블 구조 변경,테이블 구조 변경,테이블 3개소 변경카메라 라이다 클리닝
멀티 운용오류,멀티 운용오류,주행설정값조정.안전구간삭제
멀티운용오류,멀티운용오류,주행설정 값조정/ 안전구간삭제
[상품명] 방역로봇[신고자/연락처]정연희01099203750[문의(고장)내용] 가다 서다 반복/오작동[답변(진단)내용] 충전스테이션 리셋은안해봤다함/점검요[기타],[상품명] 방역로봇[신고자/연락처]정연희01099203750[문의(고장)내용] 가다 서다 반복/오작동[답변(진단)내용] 충전스테이션 리셋은안해봤다함/점검요[기타],방전상태 및 위치재배치
테이블 위치변경,테이블 위치변경,맵재설치
주행오류,주행오류,로봇 맵 수정
매장 추가 인테리어로 재매핑 재설정,매장 추가 인테리어로 재매핑 재설정,매장 추가 인테리어로 전체 재매핑
[상품명][신고자/연락처]043-260-4377 김한별[문의(고장)내용]이동경로 수정요청[답변(진단)내용]로드맴 수정요청[기타],[상품명][신고자/연락처]043-260-4377 김한별[문의(고장)내용]이동경로 수정요청[답변(진단)내용]로드맴 수정요청[기타],양호
장식장 설치로 대기위치 변경 요청,장식장 설치로 대기위치 변경 요청,장식장 맵수정및 대기위치 이동
대기위치 변경및 이동경로 변경 요청,대기위치 변경및 이동경로 변경 요청,로봇 이동 경로 변경
로봇기술팀 조용경 차장과 협의후 교체충전중이예로 안 넘어감,로봇기술팀 조용경 차장과 협의후 교체충전중이예로 안 넘어감,로봇교체
[상품명][신고자/연락처]계상훈01062705335[문의(고장)내용]서비스를준비중입니다[답변(진단)내용]대기장소/충전장소 전원리셋재부팅동일/현장확인요청[기타],[상품명][신고자/연락처]계상훈01062705335[문의(고장)내용]서비스를준비중입니다[답변(진단)내용]대기장소/충전장소 전원리셋재부팅동일/현장확인요청[기타],보드교체 수리
하이오더 수정완료 후 재매핑 맵 수정,하이오더 수정완료 후 재매핑 맵 수정,마커 임의변경 복구 하이오더와 테이블변경 부분 조정
매장 리뉴얼,매장 리뉴얼,고객사 리뉴얼 재맵핑
로봇 부팅오류,로봇 부팅오류,로봇불량판정으로 교체
충전이상,충전이상,전원 off
리모델링 후 재맵피 희망,리모델링 후 재맵피 희망,무선충전 위치 재배치
[상품명]서빙로봇[신고자/연락처]김성택 010 9034 5604[문의(고장)내용]내부 인테리어 변경으로 서빙로봇 이동경로 수정요청 [답변(진단)내용]판매자 010 6681 8600 에서 대신 접수함.[기타],[상품명]서빙로봇[신고자/연락처]김성택 010 9034 5604[문의(고장)내용]내부 인테리어 변경으로 서빙로봇 이동경로 수정요청 [답변(진단)내용]판매자 010 6681 8600 에서 대신 접수함.[기타],인테리어변경
[상품명]서빙로봇_베어로보틱스[신고자/연락처]박현자/01092161736[문의(고장)내용]안내멘트가 짧림/위치 설정요청[답변(진단)]위치설정 안내하였으나 잘안된다고 하심[기타],[상품명]서빙로봇_베어로보틱스[신고자/연락처]박현자/01092161736[문의(고장)내용]안내멘트가 짧림/위치 설정요청[답변(진단)]위치설정 안내하였으나 잘안된다고 하심[기타],테이블 위치 변경
로봇위치이탈,로봇위치이탈,로봇점검
로봇이상동작,로봇이상동작,로봇점검
멀티로봇 인식불,멀티로봇 인식불,네트워크 변경
[상품명][신고자/연락처]010-7456-3775 이필준[문의(고장)내용]로봇이 자주 먹통이 됨[답변(진단)내용]10대 사용중으로 어느 로봇이 문제인지 임의접수[기타],[상품명][신고자/연락처]010-7456-3775 이필준[문의(고장)내용]로봇이 자주 먹통이 됨[답변(진단)내용]10대 사용중으로 어느 로봇이 문제인지 임의접수[기타],스마트캐스트 연동 문제
로봇 주행시 카트와 부딧힐뻔함점검요청,로봇 주행시 카트와 부딧힐뻔함점검요청,주행경로 이탈 후 테이블 근처에서 회전하다 테이블과로봇 트레이가 닿아 음식 쏟음로봇 주행오차로 인한 발생카메라 필터값 high에서 mid로 조정 금지영역 확대작업
로봇이 출발하지 않고 멈춰있음,로봇이 출발하지 않고 멈춰있음,sw 자율주행 문제발생맵설정변경
로봇 출발 못하고 멈춰있음음식을 내려도 복귀 못함,로봇 출발 못하고 멈춰있음음식을 내려도 복귀 못함,sw 자율주행 문제발생맵설정변경
로봇 멈춤,로봇 멈춤,오동작 및 무게센서 이싱
호출벨연동 안됨,호출벨연동 안됨,플랫폼 오류
로봇  서빙시 테이블 도착시오류 발생,로봇  서빙시 테이블 도착시오류 발생,양호
로봇 방향 못잡는 증상,로봇 방향 못잡는 증상,위치 재배치 방법설명및 qr인식 설명
가게 폐점하고 없음(영업대표에게 연락 드림),가게 폐점하고 없음(영업대표에게 연락 드림),"무트래픽 방문, 가게 폐점하고 없음(10월29일까지 트래픽 있음 - 영업대표에 야연락함"
로봇 리부팅 현상 지속,로봇 리부팅 현상 지속,로봇 불량
A로봇은 다른곳가고 B로봇은 처박고 C로봇은 역주행,A로봇은 다른곳가고 B로봇은 처박고 C로봇은 역주행,재설치
[상품명]서빙 로봇 [신고자/연락처]이주환 010 8451 0094[문의(고장)내용]1대 같은 자리에서 빙빙돌고 있다고 함. [답변(진단)내용]전원리셋 및 바코드 입력해도 미복구 [기타],[상품명]서빙 로봇 [신고자/연락처]이주환 010 8451 0094[문의(고장)내용]1대 같은 자리에서 빙빙돌고 있다고 함. [답변(진단)내용]전원리셋 및 바코드 입력해도 미복구 [기타],로봇 외부 장애물 제거
테이블 재배치,테이블 재배치,
카운터쪽 주행 이상,카운터쪽 주행 이상,맵 수정
[상품명] : LG서빙로봇 [신고자/연락처] : 010-2223-2931 김주희[문의(고장)내용] : 오전부터 충동이 감지되었습니다.라고 오류발생으로 5회정도 재부팅했는데도 안되어 고장접수[ 답변(진단)내용] : 수배접수[기타] :,[상품명] : LG서빙로봇 [신고자/연락처] : 010-2223-2931 김주희[문의(고장)내용] : 오전부터 충동이 감지되었습니다.라고 오류발생으로 5회정도 재부팅했는데도 안되어 고장접수[ 답변(진단)내용] : 수배접수[기타] :,
[상품명] : LG서빙로봇 [신고자/연락처] : 010-2223-2931 김주희[문의(고장)내용] : 오전부터 충동이 감지되었습니다.라고 오류발생으로 5회정도 재부팅했는데도 안되어 고장접수[ 답변(진단)내용] : 수배접수[기타] :,[상품명] : LG서빙로봇 [신고자/연락처] : 010-2223-2931 김주희[문의(고장)내용] : 오전부터 충동이 감지되었습니다.라고 오류발생으로 5회정도 재부팅했는데도 안되어 고장접수[ 답변(진단)내용] : 수배접수[기타] :,양호
로봇 이상,로봇 이상,로봇교체
로봇 오류,로봇 오류,로봇 리셋
[상품명]서빌로봇[신고자/연락처]조혜련/01045251616[문의(고장)내용]충전은 되고 있으나 액정판 문구가 정상이 아님[답변(진단)내용]원격조치가 불가해서 현장 수배 처리함[기타],[상품명]서빌로봇[신고자/연락처]조혜련/01045251616[문의(고장)내용]충전은 되고 있으나 액정판 문구가 정상이 아님[답변(진단)내용]원격조치가 불가해서 현장 수배 처리함[기타],사용미숙
1층로봇 주행실패 점검요청,1층로봇 주행실패 점검요청,로봇방전충전후재배차
주방내 서빙대기 위치 집기류 변경으로 수정작업,주방내 서빙대기 위치 집기류 변경으로 수정작업,주방내 서빙대기 위치수정
구동부 소음,구동부 소음,구동부 이물질 제거
고객사 리뉴얼로 인한 재맵핑 요청,고객사 리뉴얼로 인한 재맵핑 요청,업종변경으로 2층~1층 위치변경
[상품명]서빙로봇[신고자/연락처]이관청/01027912155[문의(고장)내용]로봇이 중간에 멈추고 경로를 찾아가지 못함[답변(진단)내용]현장확인이 필요해서 현장수배처리함[기타],[상품명]서빙로봇[신고자/연락처]이관청/01027912155[문의(고장)내용]로봇이 중간에 멈추고 경로를 찾아가지 못함[답변(진단)내용]현장확인이 필요해서 현장수배처리함[기타],이상없음
[상품명]서빙로봇 bn!S0041556610[신고자/연락처]김규범 010-6781-0322[문의(고장)내용]로봇이 가는건 잘되는데 돌아오는게 안된다고 함[답변(진단)내용]접수 안내[기타]익일 오전 9시이후로 연락이 간다고 안내함,[상품명]서빙로봇 bn!S0041556610[신고자/연락처]김규범 010-6781-0322[문의(고장)내용]로봇이 가는건 잘되는데 돌아오는게 안된다고 함[답변(진단)내용]접수 안내[기타]익일 오전 9시이후로 연락이 간다고 안내함,무게센스 초기화
서빙로봇 액정화면 불량,서빙로봇 액정화면 불량,액정불량 교체
서빙로봇 작동안됨,서빙로봇 작동안됨,로봇 동작불
SOM보드교체 후 방문점검요청,SOM보드교체 후 방문점검요청,위치변경 로봇 및 하이오더 운용 케어
[상품명]서빙로봇[신고자/연락처]윤대웅/025586669[문의(고장)내용]충전이 안된다고함[답변(진단)내용]전원리셋하면 바로 off된다고함[기타],[상품명]서빙로봇[신고자/연락처]윤대웅/025586669[문의(고장)내용]충전이 안된다고함[답변(진단)내용]전원리셋하면 바로 off된다고함[기타],충전장소 옮김
방역로봇 멈춤 동작안함,방역로봇 멈춤 동작안함,질의중
로봇액정파손으로 수리의뢰,로봇액정파손으로 수리의뢰,액정 파손으로 교체
로봇 오동작,로봇 오동작,맵수정 및 업데이트
테이블 위치변경으로 방문요청,테이블 위치변경으로 방문요청,테이블 변경으로 서빙위치 재설정
멀티로봇 이상작동,멀티로봇 이상작동,공유기 재설정
테이블 위치 수정,테이블 위치 수정,테이블 위치변경으로 신규맵핑
서빙대기위치 집기 변경으로 재매핑 요청,서빙대기위치 집기 변경으로 재매핑 요청,서빙대기위치 집기변경으로 재맵핑
무게감지 잘 안됨,무게감지 잘 안됨,무게센서 이상
운용중 장애물회피 안됨,운용중 장애물회피 안됨,맵 보정수리
[상품명]서빙로봇[신고자/연락처]정태자/01042285253[문의(고장)내용]장애가 없는데도 로봇이 출발을 안한다고함[답변(진단)내용]로봇 전원 리셋 했다고함[기타],[상품명]서빙로봇[신고자/연락처]정태자/01042285253[문의(고장)내용]장애가 없는데도 로봇이 출발을 안한다고함[답변(진단)내용]로봇 전원 리셋 했다고함[기타],"위치틀어짐,"
장애물 감지로 서빙불가,장애물 감지로 서빙불가,카메라 클리닝 및 민감도 조정
위치변경 요청,위치변경 요청,위치변경으로 맵수정 작업
